Wavelength,S_Cone_Sensitivity,M_Cone_Sensitivity,L_Cone_Sensitivity
708.0,4.7032032505086756e-08,0.000683624977222246,0.021701377888319107
708.5,4.5503991801641195e-08,0.0006614014372281537,0.020981005667659397
709.0,4.402448508287695e-08,0.0006398871060164622,0.020283412071413643
709.5,4.259128421911058e-08,0.0006190490695141652,0.01960763368025578
710.0,4.120216108065865e-08,0.0005988544136482569,0.018952707074859725
710.5,3.985511522667846e-08,0.000579273563555834,0.01831776035164661
711.0,3.854905697169022e-08,0.0005602903012144053,0.017702287670026268
711.5,3.728312431905492e-08,0.0005418917478115829,0.01710587470515574
712.0,3.605645527213352e-08,0.0005240650245349786,0.016528107132192063
712.5,3.4868187834286976e-08,0.0005067972525722045,0.01596857062629227
713.0,3.371746000887628e-08,0.0004900755531108726,0.015426850862613396
713.5,3.2603409799262386e-08,0.0004738870473385948,0.014902533516312478
714.0,3.152517520880626e-08,0.0004582188564429829,0.014395204262546549
714.5,3.048189424086887e-08,0.000443058101611649,0.013904448776472645
715.0,2.947270489881118e-08,0.00042839190403220513,0.013429852733247802
715.5,2.849674293310573e-08,0.0004142074425821104,0.012971002544541102
716.0,2.7553135082671238e-08,0.0004004921268982124,0.01252748756806979
716.5,2.6641005833538e-08,0.0003872334243072062,0.01209889789806317
717.0,2.5759479671736305e-08,0.0003744188021357865,0.011684823628750526
717.5,2.490768108329643e-08,0.0003620357277106483,0.011284854854361159
718.0,2.4084734554248685e-08,0.0003500716683584866,0.010898581669124366
718.5,2.3289764570623345e-08,0.00033851409140599604,0.010525594167269439
719.0,2.25218956184507e-08,0.00032735046417987175,0.010165482443025675
719.5,2.178025218376105e-08,0.00031656825400680846,0.009817836590622369
720.0,2.106395875258467e-08,0.00030615492821350123,0.009482246704288816
720.5,2.0372138993944456e-08,0.0002960978841890827,0.00915830311394673
721.0,1.9703913308833656e-08,0.0002863842395724373,0.008845597092287523
721.5,1.9058401281238132e-08,0.000277001042064887,0.008543720147695014
722.0,1.8434722495143727e-08,0.0002679353393677541,0.00825226378855303
722.5,1.78319965345363e-08,0.00025917417918236055,0.007970819523245397
723.0,1.7249342983401706e-08,0.00025070460921002886,0.007698978860155943
723.5,1.6685881425725793e-08,0.0002425136771520809,0.007436333307668493
724.0,1.6140731445494413e-08,0.00023458843070983895,0.007182474374166873
724.5,1.5613012626693426e-08,0.00022691591758462512,0.006936993568034908
725.0,1.510184455330868e-08,0.00021948318547776165,0.006699482397656426
725.5,1.4606416602170956e-08,0.000212278362355612,0.006469563473243836
726.0,1.4126197321490725e-08,0.00020529389724470516,0.0062469838123238855
